feature,importance
num__cvss,8445
num__description_len,8069
num__port,6627
num__patch_age_days,5999
num__age_days,4603
num__severity,3644
cat__proto_tcp,1012
cat__svc_name_https,584
cat__svc_name_http,558
cat__svc_name_dns,519
cat__svc_name_mssql,518
cat__svc_name_ssh,516
cat__svc_name_mysql,490
cat__svc_name_ftp,481
num__exploit_available,477
cat__svc_name_rdp,477
cat__svc_name_smb,462
cat__svc_name_ldap,460
num__has_known_exploit,400
num__in_cisa_kev,266
cat__proto_udp,161
num__trending,152
num__patch_available,80
num__internet_exposed,0
num__persistence_scans,0
num__asset_criticality,0
